keyphrase,count
mcdonald,35
kanye west,32
packaging,13
russia,9
just,9
food packaging,9
fast food collabs,5
final frontier,5
kanyewest,5
"new nationalised ""mcdonalds"" logo",4
fried apple pie,3
quarter pounder,3
tacobell,3
franklin_graham,3
instagram,3
eddie van halen,3
scotlandsky,3
sheffield,3
local,3
1st stop,3
mcdonalds sprite,3
the,3
cheese,3
uk,3
mcdonalds late 1970s,3
america,3
david lee roth,3
way,3
kfc,3
burgerking,2
coke,2
pabcasdy,2
order,2
mf,2
remarks,2
u.s. companies,2
social media report,2
fiveguys,2
something,2
periodic table,2
1100 am,2
business,2
source,2
heavy rain  mag,2
okare drink opop,2
collaboration,2
05,2
chipotletweets,2
4.00 inch,2
txwx,2
san benito,2
michaeljolayemi,2
jw,2
restaurants,2
expressway mcdonalds,2
nickhcheung,2
burgers,2
tx time,2
sfa,2
ayroeth,2
yona,2
photo,2
kanye,2
moscow,2
the chernobyl mcdonalds,2
wfo bro location,2
iphone,2
public,2
mihlalii,2
mcdonalds sprite nd,2
golden arches,2
food,2
russia rebrand,2
