keyphrase,count
meal,201
kid,201
mother,200
mcdonalds drive,163
f1 drivers,30
kidney,30
private plane,30
breaking,27
unionsforall,27
employees,22
working conditions,21
wage,21
sexual harassment,21
workplace violence,21
safe,21
detroit,21
end,21
hr,21
healthy conditions,21
mcdonald,19
food,15
time,14
workers,14
hell,13
good move,10
china,10
people,10
tampa,8
crew,7
gas,7
average rents,7
current wage floor,7
basic needs,7
last year,7
week,7
rogers,7
housing,7
franklin_graham,6
shareholder meeting,5
doug,5
creativity,5
strikes,5
votefordoutjune2,5
tim hortons,5
court folks,5
haha,5
bus,5
tax payers,5
hit piece,5
amazing discoveries,5
one person,5
boredom,5
bad thing,5
many donors,5
xd,5
bradlee shopping center,5
chaps,5
6 walkouts,5
someone,5
fight,5
mcdonalds coupon,5
burger king,5
engineering mindset,5
blows,4
russia,4
feb. 24 invasion,4
emotions,4
life,4
kids,4
livelihoods,4
burgers,4
many ordinary russians,4
problem,4
jake,3
gamingpost,3
shit,3
bailouts,3
gamersunite,3
difference,3
business,3
silence,3
war,3
storefronts,3
vast shopping malls,3
ice cream machine,3
actual hell fam,3
system,3
eerie expanses,3
teavis scootjj,3
global campaign,3
everyone,3
western retailers,3
tax loopholes,3
elonmusk,3
photo,3
niggas,3
finalfantasyvii,3
money,3
awww barret,3
point,3
fuck,3
federal grants,3
moscow,3
adults,3
ice cream machines,2
bills,2
company,2
mcfaul,2
bitch water,2
ways,2
post,2
a week,2
ass,2
gym,2
companies,2
years,2
less,2
dinosaurs,2
world,2
facebook,2
happy meals,2
jw,2
voicemod,2
ukraine,2
putin,2
starbucks,2
order,2
box,2
drive,2
robertolinger,2
scotlandsky,2
marketing,2
front,2
day,2
types,2
asteroid,2
sfa,2
guys,2
bitch slimy slime,2
bill gates,2
